feature,importance
thal,0.21930997597001567
cp,0.14606470675592764
ca,0.12625589827871564
thalach,0.107912292089851
oldpeak,0.0854982584558473
exang,0.06496732557505397
age,0.05935157007450187
trestbps,0.045864878829393725
slope,0.04497512328537254
chol,0.0414143078821794
sex,0.040390704952527515
restecg,0.015251748405988648
fbs,0.0027432094446250437
